Goal,Meal_Type,Meal_Name,Meal_Name_AR,Calories,Protein_g,Carbs_g,Fat_g,Fiber_g,Sugars_g,Tags
Muscle_Gain,Breakfast,Oats + Milk + Banana + Peanut Butter,شوفان + حليب + موز + زبدة فول سوداني,720.0,35.0,95.0,22.0,10.0,22.0,High Protein;Energy Dense
Muscle_Gain,Breakfast,Eggs (3) + Whole Grain Toast + Avocado,3 بيض + توست أسمر + أفوكادو,680.0,33.0,45.0,35.0,10.0,6.0,Whole Grain;Healthy Fats;High Protein
Muscle_Gain,Breakfast,Greek Yogurt + Granola + Berries + Honey,زبادي يوناني + جرانولا + توت + عسل,620.0,30.0,78.0,20.0,8.0,24.0,Probiotics;High Protein
Muscle_Gain,Breakfast,Protein Pancakes + Fruit,بان كيك بروتين + فاكهة,650.0,40.0,75.0,18.0,6.0,18.0,High Protein
Muscle_Gain,Breakfast,Shakshuka + Whole Grain Pita,شكشوكة + خبز أسمر,700.0,34.0,70.0,28.0,8.0,10.0,Whole Grain;High Protein
Muscle_Gain,Breakfast,Tuna Sandwich + Fruit,ساندويتش تونة + فاكهة,640.0,42.0,70.0,16.0,8.0,14.0,Whole Grain;High Protein
Muscle_Gain,Breakfast,Labneh + Olive Oil + Whole Grain Bread,لبنة + زيت زيتون + خبز أسمر,610.0,24.0,55.0,30.0,6.0,6.0,Whole Grain;Healthy Fats
Muscle_Gain,Breakfast,Chicken Fajita Wrap + Veg,راب دجاج فاهيتا + خضار,690.0,45.0,70.0,22.0,8.0,8.0,High Protein
Muscle_Gain,Lunch,Grilled Chicken + Rice + Veg,دجاج مشوي + رز + خضار,880.0,55.0,105.0,22.0,10.0,8.0,Balanced;High Protein
Muscle_Gain,Lunch,Beef Bowl + Rice + Salad,باول لحم + رز + سلطة,950.0,50.0,110.0,28.0,8.0,8.0,Balanced;High Protein
Muscle_Gain,Lunch,Salmon + Quinoa + Veg,سلمون + كينوا + خضار,900.0,45.0,85.0,35.0,10.0,6.0,Omega-3;High Protein
Muscle_Gain,Lunch,Chicken Shawarma (Healthy) + Rice + Salad,شاورما دجاج صحية + رز + سلطة,920.0,55.0,105.0,26.0,9.0,7.0,Traditional;High Protein
Muscle_Gain,Lunch,Turkey Sandwich + Soup,ساندويتش ديك رومي + شوربة,850.0,50.0,95.0,22.0,8.0,8.0,High Protein
Muscle_Gain,Lunch,Tuna Pasta + Salad,مكرونة تونة + سلطة,890.0,48.0,110.0,20.0,10.0,7.0,Whole Wheat;High Protein
Muscle_Gain,Lunch,Chicken Kabsa (Light) + Salad,كبسة دجاج لايت + سلطة,980.0,55.0,120.0,25.0,7.0,6.0,Traditional;Balanced
Muscle_Gain,Lunch,Beef Kofta + Pita + Salad,كفتة لحم + خبز + سلطة,910.0,48.0,85.0,35.0,6.0,6.0,Traditional;High Protein
Muscle_Gain,Dinner,Lean Beef + Sweet Potato + Salad,لحم قليل دهن + بطاطا حلوة + سلطة,850.0,50.0,75.0,35.0,10.0,6.0,High Protein
Muscle_Gain,Dinner,Chicken + Pasta + Veg,دجاج + مكرونة + خضار,880.0,55.0,100.0,24.0,9.0,7.0,Whole Wheat;High Protein
Muscle_Gain,Dinner,Salmon + Rice + Veg,سلمون + رز + خضار,900.0,45.0,95.0,35.0,8.0,6.0,Omega-3;High Protein
Muscle_Gain,Dinner,Shrimp Stir-Fry + Rice,روبيان سوتيه + رز,820.0,48.0,95.0,22.0,8.0,7.0,High Protein
Muscle_Gain,Dinner,Chicken Soup + Bread + Salad,شوربة دجاج + خبز + سلطة,780.0,45.0,85.0,22.0,7.0,6.0,Comfort;Balanced
Muscle_Gain,Dinner,Eggs + Beans + Whole Grain Bread,بيض + فول/فاصوليا + خبز أسمر,800.0,40.0,95.0,25.0,16.0,6.0,Whole Grain;High Fiber
Muscle_Gain,Dinner,Paneer (Light) + Rice + Veg,بانير لايت + رز + خضار,820.0,38.0,95.0,28.0,8.0,7.0,Vegetarian;High Protein
Muscle_Gain,Dinner,Chicken Tikka + Quinoa + Salad,دجاج تيكا + كينوا + سلطة,860.0,55.0,85.0,28.0,8.0,6.0,High Protein
Maintenance,Breakfast,Oats + Milk + Fruit,شوفان + حليب + فاكهة,560.0,22.0,75.0,15.0,8.0,16.0,Balanced
